iter	RMSE
0	2733.86993
1	2712.031756
2	2690.430195
3	2669.471604
4	2648.256555
5	2627.338753
6	2606.93319
7	2587.166779
8	2567.324467
9	2547.266179
10	2527.59486
11	2507.68319
12	2488.886791
13	2470.485653
14	2451.894171
15	2433.311402
16	2414.149106
17	2395.959667
18	2378.007297
19	2360.27021
20	2342.819256
21	2325.088422
22	2308.075076
23	2291.195382
24	2274.655213
25	2258.214288
26	2241.830561
27	2225.76254
28	2209.93089
29	2193.761726
30	2177.693881
31	2162.337594
32	2147.363312
33	2132.560885
34	2117.913746
35	2102.93403
36	2088.388274
37	2074.182973
38	2060.140106
39	2046.249849
40	2032.679488
41	2018.52641
42	2005.659323
43	1992.552211
44	1979.53091
45	1966.659862
46	1953.991681
47	1941.551305
48	1928.442345
49	1915.899426
50	1903.893071
51	1891.975859
52	1879.776935
53	1869.199769
54	1857.996244
55	1846.057854
56	1834.445643
57	1823.132722
58	1812.357006
59	1801.635336
60	1790.903729
61	1780.719228
62	1770.402004
63	1759.844896
64	1750.417036
65	1740.542923
66	1730.944069
67	1721.219204
68	1711.623271
69	1702.137313
70	1693.000962
71	1683.839656
72	1674.852701
73	1665.931419
74	1657.102423
75	1648.411039
76	1639.216124
77	1630.415151
78	1622.151124
79	1613.876638
80	1605.466247
81	1597.117759
82	1588.824434
83	1581.042076
84	1573.515821
85	1565.753017
86	1557.965785
87	1550.610673
88	1543.261149
89	1536.192707
90	1529.198396
91	1522.419747
92	1515.355938
93	1508.623702
94	1501.558416
95	1495.143037
96	1488.759543
97	1482.365613
98	1475.628025
99	1469.451063
100	1463.451478
101	1457.299113
102	1451.025301
103	1445.002769
104	1439.316381
105	1433.701051
106	1428.1192
107	1422.718409
108	1416.980287
109	1411.298275
110	1406.067525
111	1400.917719
112	1395.439525
113	1389.961343
114	1385.050972
115	1379.688461
116	1374.895983
117	1370.135056
118	1365.140061
119	1360.508423
120	1356.02556
121	1351.398838
122	1346.838266
123	1342.809151
124	1338.549383
125	1334.443122
126	1330.330077
127	1325.889567
128	1321.859228
129	1318.01234
130	1314.012541
131	1310.431924
132	1306.26073
133	1302.617443
134	1298.960484
135	1294.929806
136	1291.385947
137	1287.602754
138	1283.667875
139	1280.416754
140	1276.73247
141	1273.5713
142	1270.462
143	1266.859058
144	1263.384616
145	1259.998889
146	1256.943134
147	1253.677813
148	1250.752975
149	1247.889471
150	1245.519549
151	1242.671193
152	1240.034673
153	1237.42879
154	1234.577296
155	1232.200164
156	1229.625736
157	1226.701277
158	1224.235267
159	1221.396515
160	1218.750244
161	1216.472155
162	1213.962365
163	1211.301541
164	1209.398239
165	1207.302896
166	1204.897415
167	1202.399786
168	1199.984967
169	1197.708455
170	1195.501549
171	1193.28577
172	1191.11112
173	1188.79397
174	1186.971498
175	1185.214245
176	1183.433474
177	1181.384809
178	1179.410458
179	1177.445044
180	1175.743829
181	1173.957587
182	1172.007865
183	1170.159076
184	1168.401709
185	1166.882243
186	1165.571548
187	1163.833228
188	1162.439727
189	1160.650224
190	1159.137572
191	1157.788292
192	1156.411395
193	1154.748924
194	1153.070361
195	1151.550683
196	1149.993212
197	1148.451867
198	1147.016498
199	1145.522414
200	1144.028779
201	1142.767315
202	1141.581147
203	1140.170505
204	1139.4738
205	1138.060105
206	1137.007383
207	1135.666161
208	1134.419046
209	1133.11978
210	1132.037236
211	1130.818637
212	1129.558511
213	1128.971013
214	1127.818921
215	1126.803167
216	1125.792168
217	1124.700615
218	1123.80268
219	1122.749257
220	1121.728737
221	1120.823873
222	1119.728878
223	1118.69414
224	1117.886718
225	1117.010472
226	1116.034246
227	1115.209898
228	1114.288296
229	1113.484941
230	1112.705949
231	1111.782418
232	1111.048909
233	1110.236093
234	1109.394789
235	1108.699936
236	1108.085005
237	1107.231332
238	1106.723685
239	1105.872089
240	1105.086347
241	1104.392824
242	1103.731533
243	1103.168615
244	1102.583952
245	1101.99807
246	1101.283455
247	1100.712749
248	1100.103472
249	1099.392882
250	1098.817056
251	1098.141216
252	1097.536443
253	1096.984199
254	1096.379009
255	1095.724426
256	1095.088723
257	1094.572263
258	1093.982783
259	1093.476704
260	1093.013718
261	1092.48288
262	1092.042736
263	1091.64982
264	1091.122777
265	1090.654675
266	1090.190137
267	1089.800598
268	1089.274481
269	1088.855437
270	1088.350813
271	1087.902236
272	1087.436841
273	1086.951544
274	1086.553462
275	1086.256387
276	1085.891712
277	1085.494394
278	1085.113053
279	1084.733997
280	1084.388022
281	1084.038126
282	1083.77621
283	1083.435142
284	1083.045999
285	1082.838092
286	1082.483611
287	1082.073064
288	1081.674328
289	1081.28641
290	1080.874723
291	1080.587525
292	1080.208358
293	1079.877854
294	1079.513249
295	1079.129365
296	1078.864023
297	1078.587318
298	1078.332856
299	1078.081342
300	1077.839498
301	1077.554105
302	1077.280718
303	1077.007809
304	1076.795961
305	1076.698017
306	1076.380918
307	1076.087396
308	1075.839322
309	1075.589163
310	1075.380857
311	1075.150609
312	1074.953758
313	1074.807733
314	1074.516968
315	1074.286548
316	1074.085253
317	1073.909145
318	1073.675108
319	1073.44617
320	1073.200659
321	1073.007219
322	1072.846322
323	1072.634818
324	1072.386015
325	1072.057007
326	1071.87611
327	1071.694789
328	1071.446121
329	1071.384868
330	1071.245999
331	1070.99685
332	1070.856133
333	1070.612015
334	1070.464546
335	1070.311163
336	1070.060302
337	1069.885465
338	1069.760665
339	1069.604182
340	1069.442907
341	1069.28718
342	1069.105811
343	1068.968905
344	1068.766842
345	1068.67047
346	1068.522453
347	1068.292639
348	1068.102164
349	1067.935338
350	1067.771221
351	1067.648409
352	1067.56174
353	1067.421601
354	1067.302605
355	1067.222111
356	1067.077145
357	1066.93464
358	1066.797612
359	1066.668431
360	1066.538938
361	1066.406301
362	1066.328225
363	1066.112768
364	1066.030589
365	1065.967928
366	1065.867066
367	1065.754603
368	1065.665378
369	1065.531068
370	1065.417429
371	1065.322801
372	1065.181786
373	1065.053492
374	1064.98044
375	1064.881211
376	1064.800858
377	1064.655123
378	1064.555811
379	1064.425783
380	1064.29965
381	1064.27795
382	1064.108176
383	1063.990204
384	1063.867232
385	1063.832929
386	1063.757243
387	1063.549492
388	1063.454431
389	1063.35254
390	1063.258095
391	1063.153528
392	1063.136105
393	1062.998101
394	1062.887721
395	1062.799413
396	1062.742885
397	1062.681343
398	1062.532061
399	1062.443984
400	1062.360989
401	1062.265908
402	1062.194567
403	1062.131372
404	1062.047955
405	1061.922268
406	1061.832202
407	1061.748361
408	1061.616259
409	1061.490755
410	1061.375845
411	1061.310435
412	1061.296441
413	1061.17008
414	1061.069781
415	1061.033434
416	1060.97042
417	1060.879619
418	1060.747536
419	1060.721913
420	1060.6278
421	1060.58956
422	1060.536317
423	1060.509996
424	1060.472563
425	1060.445965
426	1060.401269
427	1060.330669
428	1060.250163
429	1060.110022
430	1060.054519
431	1059.922418
432	1059.86123
433	1059.806826
434	1059.691458
435	1059.635177
436	1059.594292
437	1059.562059
438	1059.44239
439	1059.335548
440	1059.282354
441	1059.203673
442	1059.149183
443	1059.139559
444	1059.06011
445	1058.970012
446	1058.961797
447	1058.873441
448	1058.839346
449	1058.765849
450	1058.687723
451	1058.608342
452	1058.567336
453	1058.504361
454	1058.393939
455	1058.328214
456	1058.280251
457	1058.25854
458	1058.205049
459	1058.075246
460	1057.992877
461	1057.95728
462	1057.933405
463	1057.916837
464	1057.861956
465	1057.810116
466	1057.764998
467	1057.749585
468	1057.699692
469	1057.643044
470	1057.591346
471	1057.5799
472	1057.537325
473	1057.508193
474	1057.470987
475	1057.42125
476	1057.379727
477	1057.318015
478	1057.264859
479	1057.243007
480	1057.189294
481	1057.142512
482	1057.092876
483	1057.042739
484	1056.980043
485	1056.93688
486	1056.934214
487	1056.896343
488	1056.865516
489	1056.839812
490	1056.821231
491	1056.798297
492	1056.75308
493	1056.712377
494	1056.636788
495	1056.625444
496	1056.537323
497	1056.482876
498	1056.434256
499	1056.367352
