Item_Identifier,Outlet_Identifier,Item_Outlet_Sales
FDW58,OUT049,1642.7449400776616
FDW14,OUT017,1372.295600639085
NCN55,OUT010,632.5679927221702
FDQ58,OUT017,2499.97227112971
FDY38,OUT027,6086.026692022513
FDH56,OUT046,1955.8263454410505
FDL48,OUT018,754.1626502293444
FDC48,OUT027,2254.3537365441575
FDN33,OUT045,1525.2635436757907
FDA36,OUT017,3137.4536249635335
FDT44,OUT017,1972.516433037816
FDQ56,OUT045,1359.0045516822845
NCC54,OUT019,614.5670937274958
FDU11,OUT049,2032.1050937669868
DRL59,OUT013,784.8173576026219
FDM24,OUT049,2461.858770042714
FDI57,OUT045,3044.1431297842396
DRC12,OUT018,2943.496882861028
NCM42,OUT027,2798.857214537025
FDA46,OUT010,455.1695194003337
FDA31,OUT013,2875.260921808536
NCJ31,OUT035,3852.9047618989694
FDG52,OUT046,767.9397682373617
NCL19,OUT019,327.47186664503766
FDS10,OUT035,3001.2095443794688
FDX22,OUT010,543.3718730369915
NCF19,OUT035,767.9397682373617
NCE06,OUT046,2540.829725517782
DRC27,OUT046,4043.3471503729775
FDE21,OUT035,1971.4818357611623
NCR42,OUT019,74.75895529574339
FDX51,OUT018,2978.709273509307
NCR06,OUT018,592.0179752071564
FDU31,OUT027,5572.609406131037
FDU59,OUT017,2526.66750723661
FDR03,OUT027,5588.247792753992
FDS49,OUT027,2320.983012116094
FDD48,OUT010,236.95935302395947
NCF18,OUT017,3031.0731339580734
NCD43,OUT027,2534.255562647961
NCD54,OUT018,1987.9125199549433
FDY19,OUT010,247.77314793244577
NCY54,OUT017,2892.900341478698
NCL19,OUT018,2411.1029598507494
FDP23,OUT010,558.5288691714288
FDC26,OUT013,1738.5345785417376
FDR14,OUT010,169.29734205206887
NCS41,OUT035,3087.43790939893
FDF41,OUT035,3976.1598043743197
FDU34,OUT046,2051.194524248252
DRH11,OUT046,855.2186016819659
FDM03,OUT013,1642.7449400776616
FDS31,OUT017,3030.0973285589507
FDJ20,OUT017,2002.7060227194975
FDV44,OUT027,5080.936271693
FDG02,OUT049,3137.318643797248
FDA09,OUT013,2992.60843272902
FDT04,OUT013,610.6684925000249
FDL58,OUT019,591.3420450084511
FDE52,OUT045,1410.7668169789054
FDW12,OUT035,2480.79104471972
FDL51,OUT017,3734.0263577432484
